transaction_id,date,company,customer_id,volume_kg,price_per_kg,cost_per_kg,product,region
55,2024-12-05,Milkand,1258,134,1.19,0.78,Dairy,North
56,2024-04-01,Milkand,1948,2531,1.31,0.88,Dairy,East
57,2024-09-20,Milkand,1603,910,1.29,0.7,Dairy,East
58,2024-02-04,Milkand,1933,1411,1.23,0.76,Dairy,North
59,2024-07-24,Milkand,1946,2895,1.28,0.68,Dairy,East
60,2024-03-21,Milkand,1398,1994,1.28,0.76,Dairy,South
61,2024-02-19,Milkand,1099,1156,1.32,0.83,Dairy,North
62,2024-12-25,Milkand,1500,2242,1.32,0.61,Dairy,East
63,2024-01-02,Milkand,1382,304,1.17,0.68,Dairy,West
64,2024-02-23,Milkand,1706,2981,1.19,0.79,Dairy,East
65,2024-04-15,Milkand,1191,2177,1.37,0.79,Dairy,South
66,2024-09-16,Milkand,1579,2413,1.32,0.71,Dairy,East
67,2024-11-05,Milkand,1900,2170,1.3,0.79,Dairy,East
68,2024-07-09,Milkand,1753,2756,1.31,0.82,Dairy,North
69,2024-08-05,Milkand,1601,138,1.34,0.78,Dairy,East
70,2024-02-13,Milkand,1344,272,1.26,0.82,Dairy,East
71,2024-06-10,Milkand,1009,859,1.22,0.77,Dairy,South
72,2024-07-20,Milkand,1263,2014,1.29,0.74,Dairy,East
73,2024-09-26,Milkand,1267,513,1.25,0.76,Dairy,East
74,2024-12-16,Milkand,1831,791,1.37,0.79,Dairy,East
75,2024-10-30,Milkand,1629,2762,1.37,0.67,Dairy,East
76,2024-09-27,Milkand,1761,2356,1.32,0.76,Dairy,West
77,2024-08-02,Milkand,1570,121,1.15,0.74,Dairy,East
78,2024-09-08,Milkand,1194,2152,1.16,0.72,Dairy,East
79,2024-07-08,Milkand,1986,2798,1.14,0.69,Dairy,North
80,2024-10-22,Milkand,1561,313,1.26,0.66,Dairy,West
81,2024-07-31,Milkand,1406,1795,1.32,0.72,Dairy,North
82,2024-07-26,Milkand,1295,1019,1.23,0.72,Dairy,South
83,2024-08-24,Milkand,1889,1006,1.2,0.8,Dairy,West
84,2024-12-03,Milkand,1096,2819,1.26,0.81,Dairy,North
85,2024-02-22,Milkand,1461,2814,1.19,0.71,Dairy,West
86,2024-10-06,Milkand,1638,899,1.27,0.71,Dairy,South
87,2024-08-04,Milkand,1757,2464,1.23,0.72,Dairy,North
88,2024-09-08,Milkand,1086,892,1.2,0.81,Dairy,East
89,2024-07-06,Milkand,1990,675,1.26,0.72,Dairy,South
90,2024-02-10,Milkand,1076,1827,1.32,0.85,Dairy,East
91,2024-06-05,Milkand,1888,1547,1.13,0.76,Dairy,West
92,2024-01-15,Milkand,1715,190,1.26,0.77,Dairy,East
93,2024-10-27,Milkand,1482,1165,1.08,0.73,Dairy,West
94,2024-03-05,Milkand,1145,860,1.23,0.83,Dairy,West
95,2024-12-10,Milkand,1660,869,1.31,0.77,Dairy,East
96,2024-11-22,Milkand,1110,1460,1.33,0.73,Dairy,North
97,2024-01-09,Milkand,1640,2148,1.21,0.68,Dairy,East
98,2024-12-09,Milkand,1764,2256,1.21,0.78,Dairy,South
99,2024-05-08,Milkand,1677,2102,1.23,0.72,Dairy,East
100,2024-05-15,Milkand,1296,1187,1.16,0.74,Dairy,East
101,2024-03-03,Milkand,1425,305,1.26,0.7,Dairy,East
102,2024-05-18,Milkand,1648,2997,1.17,0.7,Dairy,East
103,2024-03-21,Milkand,1790,2737,1.29,0.72,Dairy,North
104,2024-06-11,Milkand,1333,722,1.19,0.75,Dairy,East
105,2024-10-15,Milkand,1522,1777,1.22,0.69,Dairy,West
106,2024-09-17,Milkand,1582,1651,1.29,0.74,Dairy,North
107,2024-08-18,Milkand,1670,2800,1.3,0.71,Dairy,South
108,2024-02-10,Milkand,1727,1971,1.3,0.74,Dairy,West
109,2024-01-28,Milkand,1537,178,1.27,0.8,Dairy,North
110,2024-05-14,Milkand,1797,2562,1.16,0.76,Dairy,North
111,2024-07-19,Milkand,1161,1576,1.25,0.72,Dairy,East
112,2024-11-23,Milkand,1429,1272,1.24,0.75,Dairy,South
113,2024-09-24,Milkand,1613,738,1.22,0.78,Dairy,East
114,2024-02-02,Milkand,1068,1793,1.26,0.79,Dairy,South
115,2024-02-17,Milkand,1132,2938,1.18,0.76,Dairy,South
116,2024-03-02,Milkand,1188,1161,1.25,0.84,Dairy,West
117,2024-08-03,Milkand,1722,2480,1.23,0.71,Dairy,South
118,2024-10-19,Milkand,1754,2435,1.21,0.78,Dairy,North
119,2024-04-08,Milkand,1677,1825,1.16,0.75,Dairy,East
120,2024-06-20,Milkand,1923,1741,1.16,0.8,Dairy,East
121,2024-12-25,Milkand,1921,1214,1.36,0.75,Dairy,South
122,2024-08-01,Milkand,1572,1989,1.26,0.85,Dairy,West
123,2024-02-04,Milkand,1873,260,1.39,0.75,Dairy,North
124,2024-08-14,Milkand,1278,1525,1.4,0.79,Dairy,South
125,2024-04-10,Milkand,1429,1833,1.35,0.74,Dairy,North
126,2024-05-10,Milkand,1624,419,1.15,0.77,Dairy,North
127,2024-09-13,Milkand,1541,2511,1.36,0.72,Dairy,South
128,2024-01-05,Milkand,1834,2622,1.24,0.77,Dairy,West
129,2024-08-05,Milkand,1987,865,1.23,0.65,Dairy,East
130,2024-09-11,Milkand,1160,701,1.22,0.72,Dairy,North
131,2024-12-24,Milkand,1745,2459,1.22,0.72,Dairy,South
132,2024-10-09,Milkand,1898,1655,1.28,0.85,Dairy,West
133,2024-07-25,Milkand,1452,688,1.43,0.71,Dairy,North
134,2024-01-15,Milkand,1888,1343,1.12,0.73,Dairy,North
135,2024-12-11,Milkand,1850,1797,1.41,0.71,Dairy,North
136,2024-02-11,Milkand,1169,1620,1.37,0.77,Dairy,East
137,2024-06-27,Milkand,1829,2490,1.24,0.73,Dairy,North
138,2024-03-03,Milkand,1697,1005,1.21,0.73,Dairy,East
139,2024-12-17,Milkand,1056,1750,1.14,0.86,Dairy,West
140,2024-08-18,Milkand,1239,1217,1.18,0.76,Dairy,West
141,2024-08-28,Milkand,1768,1624,1.2,0.78,Dairy,East
142,2024-02-21,Milkand,1357,271,1.24,0.77,Dairy,North
143,2024-04-05,Milkand,1200,725,1.25,0.71,Dairy,West
144,2024-08-09,Milkand,1443,2145,1.31,0.72,Dairy,West
145,2024-08-18,Milkand,1836,781,1.3,0.69,Dairy,North
146,2024-08-24,Milkand,1826,1444,1.27,0.69,Dairy,West
147,2024-05-22,Milkand,1301,2083,1.25,0.75,Dairy,West
148,2024-06-19,Milkand,1105,410,1.34,0.76,Dairy,West
149,2024-01-29,Milkand,1801,2035,1.32,0.74,Dairy,South
150,2024-02-05,Milkand,1100,2577,1.29,0.77,Dairy,West
151,2024-01-13,Milkand,1096,2085,1.22,0.74,Dairy,North
152,2024-06-08,Milkand,1664,1623,1.34,0.81,Dairy,North
153,2024-11-22,Milkand,1937,384,1.32,0.72,Dairy,North
154,2024-07-05,Milkand,1028,1383,1.23,0.8,Dairy,South
155,2024-08-30,Milkand,1505,2642,1.1,0.79,Dairy,North
156,2024-03-26,Milkand,1664,454,1.26,0.62,Dairy,South
157,2024-10-10,Milkand,1437,2361,1.19,0.67,Dairy,East
158,2024-03-06,Milkand,1378,2964,1.31,0.66,Dairy,North
159,2024-06-18,Milkand,1072,299,1.27,0.77,Dairy,West
160,2024-02-14,Milkand,1253,2283,1.12,0.7,Dairy,South
161,2024-03-02,Milkand,1962,2013,1.27,0.8,Dairy,North
162,2024-05-13,Milkand,1910,1047,1.39,0.7,Dairy,South
163,2024-10-10,Milkand,1515,2775,1.24,0.76,Dairy,North
164,2024-01-28,Milkand,1748,1016,1.25,0.7,Dairy,West
165,2024-04-17,Milkand,1549,1464,1.22,0.78,Dairy,South
166,2024-02-13,Milkand,1019,1952,1.26,0.73,Dairy,North
167,2024-12-05,Milkand,1624,441,1.37,0.73,Dairy,South
168,2024-10-12,Milkand,1534,487,1.33,0.72,Dairy,South
169,2024-11-26,Milkand,1420,103,1.2,0.69,Dairy,South
170,2024-05-07,Milkand,1445,776,1.24,0.77,Dairy,South
171,2024-12-13,Milkand,1878,1762,1.25,0.72,Dairy,West
172,2024-08-18,Milkand,1135,2546,1.28,0.87,Dairy,East
173,2024-07-08,Milkand,1504,2558,1.28,0.83,Dairy,North
174,2024-08-12,Milkand,1932,312,1.24,0.74,Dairy,West
175,2024-10-09,Milkand,1759,659,1.15,0.73,Dairy,South
176,2024-04-30,Milkand,1300,657,1.24,0.74,Dairy,East
177,2024-04-25,Milkand,1608,2705,1.22,0.82,Dairy,East
178,2024-08-20,Milkand,1032,2649,1.18,0.86,Dairy,North
179,2024-09-15,Milkand,1646,2791,1.31,0.65,Dairy,South
180,2024-12-24,Milkand,1766,2094,1.25,0.82,Dairy,South
181,2024-07-16,Milkand,1277,2678,1.17,0.74,Dairy,South
182,2024-05-16,Milkand,1132,1052,1.41,0.71,Dairy,South
183,2024-11-13,Milkand,1749,2934,1.28,0.81,Dairy,East
184,2024-06-13,Milkand,1526,574,1.31,0.75,Dairy,East
185,2024-08-12,Milkand,1788,1867,1.33,0.82,Dairy,West
186,2024-11-02,Milkand,1125,141,1.22,0.8,Dairy,North
187,2024-08-21,Milkand,1344,2751,1.29,0.77,Dairy,East
188,2024-06-20,Milkand,1016,2195,1.1,0.83,Dairy,West
189,2024-05-31,Milkand,1823,2086,1.33,0.74,Dairy,East
190,2024-11-10,Milkand,1561,827,1.24,0.7,Dairy,East
191,2024-06-08,Milkand,1646,2368,1.29,0.85,Dairy,West
192,2024-04-05,Milkand,1629,1744,1.24,0.74,Dairy,West
193,2024-08-20,Milkand,1377,1039,1.4,0.76,Dairy,East
194,2024-06-28,Milkand,1817,442,1.35,0.72,Dairy,West
195,2024-04-22,Milkand,1059,2302,1.04,0.76,Dairy,North
196,2024-11-13,Milkand,1636,940,1.29,0.77,Dairy,South
197,2024-02-21,Milkand,1466,2127,1.23,0.69,Dairy,East
198,2024-09-24,Milkand,1627,2534,1.3,0.7,Dairy,South
199,2024-10-21,Milkand,1390,993,1.3,0.71,Dairy,South
200,2024-04-22,Milkand,1935,2032,1.19,0.74,Dairy,North
201,2024-04-10,Milkand,1684,1438,1.24,0.77,Dairy,West
202,2024-04-22,Milkand,1186,137,1.17,0.81,Dairy,West
203,2024-03-21,Milkand,1497,1464,1.37,0.87,Dairy,South
204,2024-07-05,Milkand,1599,950,1.28,0.76,Dairy,North
205,2024-04-22,Milkand,1714,2876,1.28,0.73,Dairy,East
206,2024-01-02,Milkand,1360,330,1.27,0.63,Dairy,North
207,2024-05-09,Milkand,1822,2599,1.17,0.76,Dairy,North
208,2024-08-07,Milkand,1831,1465,1.3,0.74,Dairy,West
209,2024-02-23,Milkand,1448,2404,1.39,0.73,Dairy,North
210,2024-12-08,Milkand,1693,2581,1.13,0.72,Dairy,South
211,2024-08-11,Milkand,1863,308,1.26,0.72,Dairy,East
212,2024-08-12,Milkand,1679,1324,1.31,0.77,Dairy,North
213,2024-05-05,Milkand,1180,2284,1.19,0.78,Dairy,North
214,2024-05-09,Milkand,1811,2712,1.31,0.75,Dairy,East
215,2024-02-22,Milkand,1958,2868,1.25,0.79,Dairy,North
216,2024-06-20,Milkand,1129,2992,1.19,0.81,Dairy,South
217,2024-08-05,Milkand,1974,2183,1.05,0.75,Dairy,South
218,2024-06-08,Milkand,1148,1338,1.24,0.81,Dairy,South
219,2024-07-16,Milkand,1471,2174,1.24,0.7,Dairy,East
220,2024-09-03,Milkand,1817,2165,1.36,0.76,Dairy,West
221,2024-11-19,Milkand,1720,729,1.28,0.73,Dairy,West
222,2024-07-21,Milkand,1622,678,1.21,0.77,Dairy,West
223,2024-07-02,Milkand,1947,1002,1.12,0.64,Dairy,South
224,2024-05-02,Milkand,1499,1949,1.32,0.81,Dairy,South
225,2024-09-11,Milkand,1648,1153,1.26,0.75,Dairy,North
226,2024-10-20,Milkand,1354,222,1.22,0.77,Dairy,West
227,2024-10-06,Milkand,1915,1056,1.21,0.71,Dairy,South
228,2024-11-20,Milkand,1210,1100,1.35,0.83,Dairy,East
229,2024-04-07,Milkand,1657,1086,1.36,0.77,Dairy,East
230,2024-07-16,Milkand,1595,1351,1.2,0.73,Dairy,North
231,2024-08-27,Milkand,1029,437,1.07,0.65,Dairy,West
232,2024-05-23,Milkand,1999,1090,1.23,0.73,Dairy,South
233,2024-04-06,Milkand,1576,2420,1.27,0.63,Dairy,North
234,2024-07-19,Milkand,1023,1560,1.26,0.76,Dairy,West
235,2024-05-03,Milkand,1983,1001,1.12,0.78,Dairy,West
236,2024-07-05,Milkand,1942,2186,1.37,0.79,Dairy,East
237,2024-11-21,Milkand,1722,2829,1.1,0.71,Dairy,West
238,2024-12-14,Milkand,1221,525,1.19,0.72,Dairy,West
239,2024-09-15,Milkand,1601,2462,1.17,0.75,Dairy,North
240,2024-05-27,Milkand,1617,713,1.16,0.72,Dairy,West
241,2024-09-08,Milkand,1683,2902,1.08,0.67,Dairy,East
242,2024-12-11,Milkand,1741,2304,1.25,0.72,Dairy,South
243,2024-05-26,Milkand,1924,971,1.36,0.77,Dairy,West
244,2024-05-27,Milkand,1588,2924,1.24,0.73,Dairy,North
245,2024-12-17,Milkand,1579,2404,1.17,0.74,Dairy,East
246,2024-07-17,Milkand,1876,2099,1.36,0.72,Dairy,North
247,2024-11-03,Milkand,1400,1993,1.32,0.87,Dairy,North
248,2024-05-07,Milkand,1864,734,1.18,0.76,Dairy,South
249,2024-02-08,Milkand,1900,2603,1.28,0.76,Dairy,South
250,2024-12-03,Milkand,1603,2194,1.34,0.72,Dairy,East
251,2024-12-25,Milkand,1511,2157,1.18,0.77,Dairy,East
252,2024-05-08,Milkand,1087,2291,1.26,0.75,Dairy,East
253,2024-09-23,Milkand,1464,1554,1.22,0.66,Dairy,North
254,2024-05-30,Milkand,1049,586,1.15,0.82,Dairy,West
255,2024-10-24,Milkand,1102,1996,1.26,0.74,Dairy,West
256,2024-04-08,Milkand,1367,2738,1.28,0.78,Dairy,North
257,2024-09-19,Milkand,1935,1555,1.25,0.72,Dairy,South
258,2024-09-08,Milkand,1491,306,1.18,0.77,Dairy,South
259,2024-05-23,Milkand,1557,1724,1.42,0.78,Dairy,West
260,2024-12-11,Milkand,1690,1625,1.21,0.68,Dairy,West
261,2024-04-21,Milkand,1778,1582,1.29,0.78,Dairy,North
262,2024-02-29,Milkand,1267,358,1.31,0.74,Dairy,West
263,2024-01-02,Milkand,1396,1452,1.05,0.7,Dairy,North
264,2024-10-30,Milkand,1319,553,1.32,0.83,Dairy,East
265,2024-09-10,Milkand,1519,898,1.25,0.7,Dairy,South
266,2024-05-19,Milkand,1448,474,1.23,0.76,Dairy,South
267,2024-02-06,Milkand,1776,2611,1.24,0.69,Dairy,East
268,2024-06-08,Milkand,1475,174,1.3,0.69,Dairy,East
269,2024-01-09,Milkand,1897,341,1.07,0.8,Dairy,North
270,2024-08-20,Milkand,1589,1140,1.25,0.73,Dairy,West
271,2024-04-08,Milkand,1908,1812,1.28,0.82,Dairy,North
272,2024-05-26,Milkand,1239,222,1.42,0.73,Dairy,South
273,2024-10-30,Milkand,1257,2102,1.14,0.73,Dairy,West
274,2024-07-26,Milkand,1707,2258,1.29,0.71,Dairy,West
275,2024-05-10,Milkand,1971,2381,1.21,0.73,Dairy,West
276,2024-05-31,Milkand,1943,596,1.29,0.78,Dairy,South
277,2024-02-23,Milkand,1841,1245,1.32,0.75,Dairy,East
278,2024-04-29,Milkand,1642,1573,1.19,0.73,Dairy,West
279,2024-06-09,Milkand,1963,826,1.41,0.78,Dairy,East
280,2024-04-25,Milkand,1389,1931,1.36,0.78,Dairy,East
281,2024-03-15,Milkand,1342,1921,1.31,0.74,Dairy,East
282,2024-04-22,Milkand,1772,1916,1.22,0.83,Dairy,North
283,2024-04-13,Milkand,1753,191,1.21,0.67,Dairy,South
284,2024-12-05,Milkand,1386,2069,1.29,0.77,Dairy,East
285,2024-09-10,Milkand,1393,2484,1.22,0.74,Dairy,North
286,2024-08-14,Milkand,1682,612,1.21,0.78,Dairy,South
287,2024-04-21,Milkand,1658,702,1.4,0.76,Dairy,East
288,2024-04-08,Milkand,1269,527,1.29,0.76,Dairy,East
289,2024-06-01,Milkand,1148,2119,1.32,0.66,Dairy,South
290,2024-12-14,Milkand,1379,1556,1.4,0.76,Dairy,East
291,2024-12-31,Milkand,1810,106,1.26,0.8,Dairy,East
292,2024-12-03,Milkand,1027,2267,1.2,0.72,Dairy,West
293,2024-07-12,Milkand,1148,2534,1.16,0.8,Dairy,East
294,2024-11-05,Milkand,1419,1473,1.36,0.73,Dairy,South
295,2024-06-11,Milkand,1279,740,1.22,0.72,Dairy,East
296,2024-07-26,Milkand,1181,1221,1.01,0.72,Dairy,North
297,2024-06-17,Milkand,1165,1166,1.04,0.7,Dairy,East
298,2024-06-09,Milkand,1016,2330,1.13,0.75,Dairy,West
299,2024-03-08,Milkand,1149,2844,1.22,0.72,Dairy,East
300,2024-10-15,Milkand,1338,664,1.23,0.72,Dairy,South
301,2024-10-03,Milkand,1044,1796,1.29,0.72,Dairy,South
302,2024-10-30,Milkand,1501,545,1.16,0.77,Dairy,West
303,2024-05-14,Milkand,1841,2030,1.27,0.69,Dairy,West
304,2024-07-13,Milkand,1188,299,1.32,0.78,Dairy,West
305,2024-05-07,Milkand,1650,612,1.24,0.78,Dairy,East
306,2024-02-02,Milkand,1060,1089,1.21,0.78,Dairy,South
307,2024-06-24,Milkand,1293,2360,1.18,0.7,Dairy,North
308,2024-01-22,Milkand,1833,1501,1.34,0.76,Dairy,West
309,2024-08-25,Milkand,1032,1912,1.14,0.82,Dairy,North
310,2024-06-06,Milkand,1298,645,1.38,0.69,Dairy,South
311,2024-02-07,Milkand,1414,2633,1.25,0.76,Dairy,West
312,2024-08-17,Milkand,1623,2109,1.17,0.69,Dairy,South
313,2024-12-30,Milkand,1802,1905,1.32,0.74,Dairy,East
314,2024-02-20,Milkand,1548,2315,1.29,0.75,Dairy,West
315,2024-09-20,Milkand,1430,989,1.28,0.72,Dairy,East
316,2024-10-09,Milkand,1494,1030,1.31,0.71,Dairy,South
317,2024-01-27,Milkand,1099,927,1.26,0.76,Dairy,North
318,2024-08-13,Milkand,1022,2284,1.29,0.7,Dairy,South
319,2024-10-03,Milkand,1419,2262,1.36,0.78,Dairy,South
320,2024-10-12,Milkand,1423,1375,1.27,0.84,Dairy,West
321,2024-04-06,Milkand,1486,1616,1.32,0.69,Dairy,South
322,2024-10-10,Milkand,1729,1412,1.07,0.68,Dairy,East
323,2024-11-12,Milkand,1088,1172,1.28,0.67,Dairy,West
324,2024-10-30,Milkand,1208,615,1.45,0.73,Dairy,South
325,2024-05-26,Milkand,1270,2014,1.11,0.79,Dairy,South
326,2024-01-04,Milkand,1932,787,1.41,0.8,Dairy,West
327,2024-02-04,Milkand,1748,1119,1.31,0.77,Dairy,West
328,2024-07-10,Milkand,1899,1395,1.11,0.76,Dairy,West
329,2024-02-18,Milkand,1405,1149,1.25,0.81,Dairy,South
330,2024-01-17,Milkand,1720,1193,1.28,0.73,Dairy,South
331,2024-06-20,Milkand,1277,2440,1.32,0.78,Dairy,West
332,2024-08-07,Milkand,1976,1357,1.22,0.85,Dairy,North
333,2024-06-06,Milkand,1205,2378,1.31,0.81,Dairy,East
334,2024-02-15,Milkand,1589,1709,1.36,0.69,Dairy,South
335,2024-01-06,Milkand,1912,1244,1.32,0.72,Dairy,East
336,2024-04-08,Milkand,1327,617,1.35,0.85,Dairy,West
337,2024-08-20,Milkand,1609,805,1.21,0.72,Dairy,South
338,2024-02-06,Milkand,1857,2524,1.3,0.83,Dairy,North
339,2024-10-06,Milkand,1876,2034,1.43,0.73,Dairy,East
340,2024-12-14,Milkand,1861,2584,1.16,0.74,Dairy,North
341,2024-10-28,Milkand,1981,1845,1.28,0.7,Dairy,North
342,2024-06-29,Milkand,1335,1768,1.16,0.71,Dairy,West
343,2024-04-04,Milkand,1605,1069,1.35,0.74,Dairy,West
344,2024-04-08,Milkand,1591,2646,1.09,0.76,Dairy,East
345,2024-07-06,Milkand,1037,1297,1.2,0.73,Dairy,East
346,2024-04-25,Milkand,1919,1786,1.43,0.79,Dairy,West
347,2024-07-09,Milkand,1227,2747,1.21,0.73,Dairy,North
348,2024-09-09,Milkand,1482,1632,1.25,0.65,Dairy,North
349,2024-06-09,Milkand,1133,877,1.35,0.74,Dairy,East
350,2024-09-12,Milkand,1707,1433,1.24,0.73,Dairy,South
351,2024-11-18,Milkand,1977,2217,1.09,0.82,Dairy,North
352,2024-05-07,Milkand,1389,2352,1.16,0.79,Dairy,South
353,2024-01-18,Milkand,1793,2488,1.36,0.8,Dairy,East
354,2024-10-07,Milkand,1612,217,1.37,0.79,Dairy,North
355,2024-08-10,Milkand,1986,114,1.09,0.77,Dairy,South
356,2024-02-23,Milkand,1424,1445,1.17,0.77,Dairy,East
357,2024-02-27,Milkand,1586,2141,1.2,0.8,Dairy,North
358,2024-11-18,Milkand,1805,2142,1.22,0.78,Dairy,South
359,2024-12-25,Milkand,1509,1010,1.18,0.72,Dairy,West
360,2024-06-22,Milkand,1719,2774,1.26,0.68,Dairy,East
361,2024-10-06,Milkand,1594,1655,1.2,0.66,Dairy,East
362,2024-04-23,Milkand,1426,789,1.22,0.71,Dairy,North
363,2024-10-14,Milkand,1948,873,1.16,0.71,Dairy,North
364,2024-12-07,Milkand,1654,1714,1.31,0.75,Dairy,North
365,2024-05-30,Milkand,1473,1634,1.14,0.74,Dairy,West
366,2024-05-06,Milkand,1567,219,1.28,0.84,Dairy,East
367,2024-06-03,Milkand,1360,2173,1.33,0.78,Dairy,East
368,2024-09-29,Milkand,1951,1836,1.41,0.71,Dairy,South
369,2024-04-13,Milkand,1798,163,1.29,0.82,Dairy,North
370,2024-10-25,Milkand,1210,559,1.27,0.74,Dairy,East
371,2024-09-02,Milkand,1952,1849,1.11,0.78,Dairy,West
372,2024-06-24,Milkand,1178,2461,1.37,0.77,Dairy,South
373,2024-02-08,Milkand,1919,2952,1.26,0.75,Dairy,West
374,2024-06-18,Milkand,1057,1713,1.27,0.82,Dairy,East
375,2024-09-03,Milkand,1072,2883,1.28,0.72,Dairy,West
376,2024-01-26,Milkand,1214,1663,1.26,0.76,Dairy,North
377,2024-12-20,Milkand,1899,1081,1.25,0.7,Dairy,West
378,2024-11-01,Milkand,1777,2726,1.22,0.77,Dairy,West
379,2024-01-13,Milkand,1958,1249,1.31,0.77,Dairy,West
380,2024-11-11,Milkand,1072,1071,1.13,0.75,Dairy,West
381,2024-11-08,Milkand,1466,806,1.13,0.75,Dairy,East
382,2024-02-05,Milkand,1270,1809,1.18,0.74,Dairy,North
383,2024-06-21,Milkand,1498,1466,1.35,0.77,Dairy,West
384,2024-01-20,Milkand,1353,1946,1.29,0.78,Dairy,North
385,2024-11-16,Milkand,1233,494,1.2,0.69,Dairy,East
386,2024-09-20,Milkand,1318,583,1.19,0.74,Dairy,South
387,2024-05-21,Milkand,1018,765,1.24,0.73,Dairy,North
388,2024-05-22,Milkand,1624,555,1.28,0.78,Dairy,South
389,2024-04-01,Milkand,1574,309,1.36,0.81,Dairy,West
390,2024-12-19,Milkand,1371,624,1.41,0.77,Dairy,North
391,2024-11-17,Milkand,1183,775,1.24,0.76,Dairy,North
392,2024-10-14,Milkand,1276,1101,1.43,0.71,Dairy,South
393,2024-08-02,Milkand,1673,995,1.26,0.84,Dairy,North
394,2024-12-07,Milkand,1754,1103,1.27,0.7,Dairy,West
395,2024-02-20,Milkand,1144,1699,1.33,0.69,Dairy,West
396,2024-06-01,Milkand,1657,2454,1.34,0.79,Dairy,East
397,2024-07-04,Milkand,1080,159,1.38,0.72,Dairy,North
398,2024-03-03,Milkand,1321,485,1.15,0.79,Dairy,East
399,2024-07-08,Milkand,1434,2203,1.26,0.82,Dairy,East
400,2024-05-04,Milkand,1832,2315,1.35,0.74,Dairy,East
